iter	Passed	Remaining
872	23110	3362
873	23129	3334
874	23157	3308
875	23185	3282
876	23206	3254
877	23236	3228
878	23267	3202
879	23295	3176
880	23310	3148
881	23339	3122
882	23354	3094
883	23383	3068
884	23398	3040
885	23417	3013
886	23445	2986
887	23475	2960
888	23491	2933
889	23522	2907
890	23552	2881
891	23580	2855
892	23609	2828
893	23620	2800
894	23649	2774
895	23679	2748
896	23708	2722
897	23741	2696
898	23770	2670
899	23795	2643
900	23814	2616
901	23838	2589
902	23867	2563
903	23896	2537
904	23928	2511
905	23961	2486
906	23997	2460
907	24027	2434
908	24047	2407
909	24077	2381
910	24106	2355
911	24130	2328
912	24162	2302
913	24193	2276
914	24217	2249
915	24236	2222
916	24255	2195
917	24284	2169
918	24313	2142
919	24342	2116
920	24371	2090
921	24400	2064
922	24432	2038
923	24462	2012
924	24482	1985
925	24511	1958
926	24544	1932
927	24573	1906
928	24602	1880
929	24617	1852
930	24647	1826
931	24673	1800
932	24705	1774
933	24721	1746
934	24751	1720
935	24778	1694
936	24808	1668
937	24838	1641
938	24870	1615
939	24899	1589
940	24929	1563
941	24954	1536
942	24983	1510
943	25011	1483
944	25040	1457
945	25060	1430
946	25091	1404
947	25121	1377
948	25150	1351
949	25179	1325
950	25208	1298
951	25236	1272
952	25265	1246
953	25294	1219
954	25313	1192
955	25345	1166
956	25375	1140
957	25404	1113
958	25432	1087
959	25451	1060
960	25479	1034
961	25503	1007
962	25532	980
963	25564	954
964	25592	928
965	25624	901
966	25652	875
967	25680	848
968	25709	822
969	25739	796
970	25769	769
971	25800	743
972	25819	716
973	25846	689
974	25874	663
975	25903	636
976	25932	610
977	25956	583
978	25979	557
979	26009	530
980	26043	504
981	26064	477
982	26091	451
983	26120	424
984	26149	398
985	26177	371
986	26206	345
987	26235	318
988	26264	292
989	26293	265
990	26326	239
991	26365	212
992	26395	186
993	26424	159
994	26453	132
995	26483	106
996	26514	79
997	26542	53
998	26593	26
999	26623	0
